Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Current Trading Date/Price[$], Current Price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Support (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades","Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),SignalType,Signal Open Price
TRENDPULSE,"TRI.TO, Long, 2025-12-22 (Price: 182.89)",Daily,No Exit Yet,No Price Target,2025-12-30 (Min),0.82%/3.93%,"-0.22%, 7 days","2026-01-29 (Price: 151.9500), 16.92% below",195.4911 (Historic Rise or Fall to Pivot)/189.6569 (Avg % Gain of Historic Winning trades)/235.1 (Exit Rule)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/455.2123 (F-Stack 2)/239.03 (EMA 200)/196.6799 (Backtested Max)/183.9691 (Backtested Min),2026-08-22 (Max)/2025-12-30 (Min)/2026-03-01 (Avg),178.26/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 4 years, 22",No Information,No Information,No Information,No Information,No Information,0.25% above/0.22% below/0.22% below,7.54%/0.59%/3.7%,"0%, 12.09%",5.6 months/6 days/1.6 month,14.91%,7.98%,6.93%,1.41,0.45,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),portfolio_target_achieved,182.27
TRENDPULSE,"WPM.TO, Long, 2025-12-22 (Price: 168.04)",Daily,2026-01-14 (Price: 184.93),187.59 (Exit Rule),No Date Target,3.46%,"12.04%, 24 days","2026-01-29 (Price: 205.4300), 22.25% above",194.7923 (F-Stack 2),2026-07-01 (Max)/2026-02-03 (Avg),145.49/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.56,"78.95%, Past 4 years, 19",No Information,No Information,No Information,No Information,No Information,18.38% above/12.04% above/12.04% above,9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,12.04%,18.03%,-5.99%,0.06,0.87,91.01%/278/1.3 month (Across ALL Assets),82.21%/669/1.4 month (Across ALL Assets),portfolio_target_achieved,166.51
TRENDPULSE,"WPM.TO, Long, 2025-12-21 (Price: 164.88)",Weekly,No Exit Yet,173.124 (Backtested Min),No Date Target,1.35%/2.91%,"4.96%, 16 days","2026-01-29 (Price: 205.4300), 24.59% above",175.3993 (Historic Rise or Fall to Pivot)/183.3301 (Avg % Gain of Historic Winning trades)/215.83 (Exit Rule)/178.0989 (F-Stack 1)/194.7923 (F-Stack 2)/209.546 (Backtested Max),2026-06-30 (Max)/2026-02-11 (Min)/2026-04-12 (Avg),135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/130.22,"86.67%, Past 10 years, 30",No Information,No Information,No Information,No Information,No Information,4.96% above/4.96% above/4.96% above,27.09%/5.0%/11.19%,"14.05%, 49.41%",4.4 months/1.2 month/2.6 months,3.49%,6.66%,-3.17%,0.68,0.35,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets),portfolio_target_achieved,163.7
OSCILLATOR DELTA,"CEN.NZ, Long, 2025-12-18 (Price: 9.27)",Daily,No Exit Yet,No Price Target,2025-12-26 (Min),2.63%/3.62%,"1.29%, 6 days","2026-01-30 (Price: 9.3500), 0.86% above",9.6371 (Historic Rise or Fall to Pivot)/9.9708 (Avg % Gain of Historic Winning trades)/9.73 (Exit Rule)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.3101 (Backtested Max)/9.7428 (Backtested Min),2026-12-07 (Max)/2025-12-26 (Min)/2026-05-01 (Avg),No Recent Minima/6.86/8.6706/No support/No F-Track Level/No F-Track Level/9.15,"81.82%, Past 6 years, 22",No Information,No Information,No Information,No Information,No Information,No Information,11.22%/5.1%/7.56%,"14.26%, 14.97%",8.2 months/6 days/3.1 months,11.41%,3.46%,7.95%,0.46,0.15,81.76%/159/0 days (Across ALL Assets),67.13%/362/0 days (Across ALL Assets),portfolio_target_achieved,9.3
FRACTAL TRACK,"CNQ.TO, Long, 2025-12-18 (Price: 43.41)",Daily,2026-01-14 (Price: 48.03),47.7163 (Avg % Gain of Historic Winning trades)/47.93 (Exit Rule)/48.1113 (Backtested Max),No Date Target,7.78%/37.76%,"10.09%, 29 days","2026-01-29 (Price: 51.0200), 17.53% above",51.51 (Horizontal)/65.8353 (F-Stack 1)/68.6522 (F-Stack 2),2027-01-30 (Max)/2026-02-03 (Min)/2026-06-18 (Avg),43.0/34.9317/41.121/33.7618/No F-Track Level/No F-Track Level/No EMA 200 Support,"100.0%, Past 5 years, 12",No Information,No Information,No Information,"78.6% (Price: 43.2814), 10.42% above, Upmove Bounce Back","2025-10-21 (Price: 41.67), 2025-11-20 (Price: 49.2)",No Information,10.83%/7.23%/9.92%,"-0.0%, 17.04%",9.4 months/1.1 month/4.2 months,20.54%,16.68%,3.86%,1.1,0.86,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets),portfolio_target_achieved,43.91
FRACTAL TRACK,"FRW.NZ, Long, 2025-12-18 (Price: 14.2)",Daily,No Exit Yet,14.4187 (Backtested Min),No Date Target,0.96%/8.64%,"1.62%, 12 days","2026-01-30 (Price: 14.2700), 0.49% above",14.5692 (Historic Rise or Fall to Pivot)/15.6768 (Avg % Gain of Historic Winning trades)/18.74 (Exit Rule)/16.2179 (F-Stack 1)/21.849 (F-Stack 2)/16.1213 (Backtested Max),2031-03-31 (Max)/2026-05-23 (Min)/2027-09-04 (Avg),13.75/7.405/11.0078/7.8689/No F-Track Level/No F-Track Level/12.04,"88.89%, Past 5 years, 9",No Information,No Information,No Information,"23.66% (Price: 13.0889), 10.25% above, Upmove Bounce Back","2023-10-30 (Price: 7.31), 2025-10-31 (Price: 14.88)",No Information,13.53%/1.54%/10.4%,"4.41%, 40.87%",3.7 years/3.6 months/1.2 year,11.59%,4.86%,6.73%,1.04,0.24,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),portfolio_target_achieved,14.2
TRENDPULSE,"MCD, Long, 2025-12-18 (Price: 319.65)",Daily,No Exit Yet,No Price Target,2025-12-28 (Min),3.44%/3.62%,"-2.81%, 8 days","2026-01-29 (Price: 315.5100), 1.30% below",330.2624 (Historic Rise or Fall to Pivot)/327.8011 (Avg % Gain of Historic Winning trades)/327.6 (Exit Rule)/321.3575 (Horizontal)/370.0426 (F-Stack 1)/590.3302 (F-Stack 2)/335.4727 (Backtested Max)/321.9195 (Backtested Min),2026-06-05 (Max)/2025-12-28 (Min)/2026-02-12 (Avg),300.72/228.4467/254.2758/233.8976/No F-Track Level/No F-Track Level/306.22,"83.33%, Past 4 years, 18",No Information,No Information,No Information,No Information,No Information,2.51% below/2.81% below/2.81% below,4.95%/0.71%/2.55%,"0.45%, 11.38%",3.9 months/7 days/1.3 month,12.38%,5.6%,6.78%,1.08,0.28,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),portfolio_target_achieved,319.38
TRENDPULSE,"WPM.TO, Long, 2025-12-18 (Price: 159.04)",Daily,2025-12-24 (Price: 166.29) (Today),No Price Target,2025-12-26 (Min),2.96%/4.33%,"4.56%, 6 days","2026-01-29 (Price: 205.4300), 29.17% above",171.2066 (Historic Rise or Fall to Pivot)/174.81 (Exit Rule)/178.0989 (F-Stack 1)/194.7923 (F-Stack 2)/173.4967 (Backtested Max),2026-06-27 (Max)/2025-12-26 (Min)/2026-01-30 (Avg),145.49/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/129.9,"78.95%, Past 4 years, 19",No Information,No Information,No Information,No Information,No Information,4.56% above/4.56% above/4.56% above,9.09%/1.23%/5.04%,"19.7%, 28.41%",4.4 months/6 days/1 month,12.04%,18.03%,-5.99%,0.06,0.87,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),portfolio_target_achieved,157.92
DELTADRIFT,"CAD=X, Long, 2025-12-16 (Price: 1.3769)",Daily,2026-01-08 (Price: 1.3858),1.387 (Avg % Gain of Historic Winning trades),No Date Target,0.26%/0.26%,"0.69%, 24 days","2026-01-30 (Price: 1.3485), 2.06% below",1.3973 (Historic Rise or Fall to Pivot)/1.39 (Exit Rule)/1.3921 (Horizontal)/1.39 (EMA 200)/1.394 (Backtested Max),2026-01-22 (Max),No support/1.2339/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Support,"81.82%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,1.24%/0.49%/0.73%,"1.99%, 2.15%",26 days/2 days/10 days,5.03%,1.76%,3.27%,0.25,-0.29,86.49%/111/12 days (Across ALL Assets),78.66%/478/16 days (Across ALL Assets),portfolio_target_achieved,1.3769
FRACTAL TRACK,"META, Long, 2025-12-16 (Price: 657.15)",Daily,No Exit Yet,No Price Target,2025-12-31 (Min),2.12%/3.65%,"0.23%, 13 days","2026-01-29 (Price: 738.3100), 12.35% above",694.0161 (Historic Rise or Fall to Pivot)/720.8936 (Avg % Gain of Historic Winning trades)/1061.53 (Exit Rule)/842.484 (F-Stack 1)/1305.5879 (F-Stack 2)/672.65 (EMA 200)/730.6194 (Backtested Max)/682.7131 (Backtested Min),2026-06-07 (Max)/2025-12-31 (Min)/2026-03-30 (Avg),589.15/276.89/556.264/No support/No F-Track Level/No F-Track Level/No EMA 200 Support,"80.0%, Past 5 years, 10",No Information,No Information,No Information,"23.66% (Price: 636.7887), 3.44% above, Upmove Bounce Back","2023-01-03 (Price: 122.28), 2025-08-15 (Price: 796.25)",No Information,11.18%/3.89%/9.7%,"3.02%, 27.47%",4 months/11 days/2.4 months,26.51%,13.27%,13.24%,0.96,0.62,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),portfolio_target_achieved,643.5
FRACTAL TRACK,"NVDA, Long, 2025-12-16 (Price: 177.72)",Daily,No Exit Yet,No Price Target,2025-12-23 (Min),6.46%/8.09%,"3.36%, 6 days","2026-01-29 (Price: 192.5100), 8.32% above",221.0304 (Historic Rise or Fall to Pivot)/198.5488 (Avg % Gain of Historic Winning trades)/206.59 (Exit Rule)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/206.4929 (Backtested Max)/195.5631 (Backtested Min),2027-12-14 (Max)/2025-12-23 (Min)/2026-04-03 (Avg),175.02/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/157.92,"95.0%, Past 5 years, 20",No Information,No Information,No Information,"78.6% (Price: 174.3677), 5.35% above, Upmove Bounce Back","2025-09-05 (Price: 164.07), 2025-10-29 (Price: 212.19)",No Information,16.19%/10.04%/11.72%,"6.56%, 60.82%",1.4 year/5 days/2.5 months,41.13%,44.79%,-3.66%,2.14,1.73,95.82%/359/0 days (Across ALL Assets),56.14%/57/0 days (Across ALL Assets),portfolio_target_achieved,176.26
DELTADRIFT,"MEL.NZ, Long, 2025-12-15 (Price: 5.46)",Daily,2025-12-16 (Price: 5.6),No Price Target,No Date Target,3.22%/4.2%,"-0.55%, 2 days","2026-01-30 (Price: 5.6600), 3.66% above",5.8586 (Historic Rise or Fall to Pivot)/5.6582 (Avg % Gain of Historic Winning trades)/5.76 (Exit Rule)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4213 (F-Stack 2)/5.72 (EMA 200)/5.7166 (Backtested Max)/5.6047 (Backtested Min),2026-01-17 (Max)/2025-12-23 (Min)/2026-01-02 (Avg),5.44/4.3875/4.5145/3.5923/No F-Track Level/No F-Track Level/No EMA 200 Support,"83.33%, Past 4 years, 6",No Information,No Information,No Information,No Information,No Information,No Information,4.7%/2.65%/3.63%,"5.86%, 6.64%",23 days/6 days/13 days,8.78%,3.44%,5.34%,0.55,0.16,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),portfolio_target_achieved,5.45
TRENDPULSE,"MFT.NZ, Long, 2025-12-14 (Price: 67.4)",Weekly,2026-01-12 (Price: 68.31) (Today),No Price Target,No Date Target,2.71%/4.45%,"1.35%, 29 days","2026-01-30 (Price: 67.4950), 0.14% above",72.5831 (Historic Rise or Fall to Pivot)/71.3496 (Avg % Gain of Historic Winning trades)/70.16 (Exit Rule)/85.45 (Horizontal)/105.252 (F-Stack 1)/119.9356 (F-Stack 2)/76.5192 (Backtested Max),2027-08-31 (Max)/2026-01-23 (Min)/2026-06-23 (Avg),58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/63.86,"90.91%, Past 10 years, 22",No Information,No Information,No Information,No Information,No Information,1.35% above/1.58% above/1.35% above,13.53%/1.78%/5.86%,"5.83%, 27.74%",1.2 year/28 days/4.4 months,9.15%,10.41%,-1.26%,1.17,0.61,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets),portfolio_target_achieved,66.1468
TRENDPULSE,"TD.TO, Long, 2025-12-14 (Price: 125.8)",Weekly,2026-01-12 (Price: 130.65) (Today),No Price Target,No Date Target,2.62%/3.27%,"3.86%, 29 days","2026-01-29 (Price: 127.9900), 1.74% above",134.9205 (Historic Rise or Fall to Pivot)/134.0776 (Avg % Gain of Historic Winning trades)/141.61 (Exit Rule)/152.0396 (F-Stack 2)/141.2986 (Backtested Max),2028-07-09 (Max)/2026-01-23 (Min)/2026-07-06 (Avg),81.05/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/100.5,"90.0%, Past 10 years, 30",No Information,No Information,No Information,No Information,No Information,3.86% above/5.82% above/3.86% above,12.32%/1.31%/6.58%,"9.57%, 31.6%",1.8 year/28 days/4.7 months,7.49%,5.65%,1.84%,1.01,0.31,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets),portfolio_target_achieved,120.9954
TRENDPULSE,"MA, Long, 2025-12-12 (Price: 571.93)",Daily,No Exit Yet,580.4 (Exit Rule),No Date Target,1.58%/2.3%,"1.34%, 14 days","2026-01-29 (Price: 543.7300), 4.93% below",588.7447 (Avg % Gain of Historic Winning trades)/592.9033 (Horizontal)/716.5814 (F-Stack 1)/751.3605 (F-Stack 2)/616.5977 (Backtested Max),2026-05-13 (Max)/2026-02-06 (Avg),537.55/306.91/554.0572/515.4888/No F-Track Level/No F-Track Level/559.47,"96.15%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,2.88% above/1.34% above/1.34% above,7.81%/1.11%/2.94%,"5.85%, 28.57%",3.5 months/4 days/1.3 month,5.71%,7.58%,-1.87%,0.98,0.39,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),portfolio_target_achieved,565.1511
DELTADRIFT,"NFLX, Long, 2025-12-12 (Price: 95.19)",Daily,No Exit Yet,No Price Target,2025-12-13 (Min),2.39%/5.56%,"0.0%, 0 days","2026-01-29 (Price: 83.1600), 12.64% below",100.4826 (Historic Rise or Fall to Pivot)/101.3393 (Avg % Gain of Historic Winning trades)/100.91 (Exit Rule)/138.686 (F-Stack 1)/152.7047 (F-Stack 2)/113.34 (EMA 200)/107.0507 (Backtested Max)/97.465 (Backtested Min),2026-01-07 (Max)/2025-12-13 (Min)/2025-12-20 (Avg),92.71/34.8663/77.3488/70.5306/89.0986/75.193/No EMA 200 Support,"81.82%, Past 4 years, 11",No Information,No Information,No Information,No Information,No Information,No Information,12.46%/2.39%/6.46%,"20.18%, 20.74%",18 days/1 day/6 days,8.49%,10.45%,-1.96%,0.17,0.53,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),portfolio_target_achieved,95.5
FRACTAL TRACK,"AMZN, Long, 2025-12-11 (Price: 230.28)",Daily,No Exit Yet,No Price Target,2026-01-13 (Min),2.91%/4.08%,"7.03%, 1.1 month","2026-01-29 (Price: 241.7300), 4.97% above",256.5319 (Avg % Gain of Historic Winning trades)/314.43 (Exit Rule)/317.6152 (F-Stack 1)/339.3352 (F-Stack 2)/263.2791 (Backtested Max)/253.6534 (Backtested Min),2029-10-18 (Max)/2026-01-13 (Min)/2026-12-11 (Avg),226.89/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/218.32,"100.0%, Past 5 years, 16",No Information,No Information,No Information,"23.66% (Price: 225.4168), 9.34% above, Upmove Bounce Back","2023-10-26 (Price: 118.35), 2025-11-03 (Price: 258.6)",No Information,14.33%/10.15%/11.4%,"-0.0%, 55.73%",2.7 years/23 days/8.4 months,24.8%,5.4%,19.4%,2.24,0.29,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets),portfolio_target_achieved,230.71
DELTADRIFT,"XLU, Long, 2025-12-11 (Price: 43.04)",Daily,No Exit Yet,No Price Target,2025-12-24 (Avg),2.54%/4.15%,"-1.32%, 11 days","2026-01-29 (Price: 43.3300), 0.67% above",45.4847 (Historic Rise or Fall to Pivot)/44.2322 (Avg % Gain of Historic Winning trades)/44.86 (Exit Rule)/49.4858 (F-Stack 1)/65.2454 (F-Stack 2)/44.7788 (Backtested Max)/43.5479 (Backtested Min),2026-02-05 (Max)/2025-12-24 (Avg),42.72/29.6267/35.4254/30.3912/No F-Track Level/No F-Track Level/41.9,"91.67%, Past 4 years, 12",No Information,No Information,No Information,No Information,No Information,No Information,4.04%/1.18%/2.77%,"8.55%, 8.55%",1.3 month/1 day/9 days,10.54%,4.54%,6.0%,0.51,0.21,88.12%/101/0 days (Across ALL Assets),77.89%/484/0 days (Across ALL Assets),portfolio_target_achieved,42.3329
TRENDPULSE,"ETH-USD, Long, 2025-12-10 (Price: 3325.3901)",Daily,No Exit Yet,No Price Target,2025-12-17 (Min),12.75%/19.2%,"-10.41%, 9 days","2026-01-29 (Price: 2818.4119), 15.25% below",4053.318 (Historic Rise or Fall to Pivot)/3769.9948 (Avg % Gain of Historic Winning trades)/3860.56 (Exit Rule)/4922.7188 (Horizontal)/4887.278 (F-Stack 1)/5298.9816 (F-Stack 2)/3550.99 (EMA 200)/4647.5652 (Backtested Max)/3358.9765 (Backtested Min),2026-04-19 (Max)/2026-01-12 (Avg),2800.19/1370.4997/2637.9184/2491.3487/No F-Track Level/No F-Track Level/No EMA 200 Support,"92.86%, Past 4 years, 42",No Information,No Information,No Information,No Information,No Information,10.3% below/10.41% below/10.41% below,39.76%/1.01%/13.37%,"17.31%, 42.86%",3 months/5 days/23 days,60.18%,45.2%,14.98%,0.97,1.15,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),portfolio_target_achieved,3321.2041
TRENDPULSE,"MX.TO, Long, 2025-12-10 (Price: 54.01)",Daily,No Exit Yet,No Price Target,2025-12-18 (Min),1.67%/5.77%,"-1.17%, 7 days","2026-01-29 (Price: 66.0100), 22.22% above",60.0537 (Historic Rise or Fall to Pivot)/56.4621 (Avg % Gain of Historic Winning trades)/73.435 (Horizontal)/104.8718 (F-Stack 1)/122.9238 (F-Stack 2)/58.6117 (Backtested Max)/54.2692 (Backtested Min),2026-05-15 (Max)/2025-12-18 (Min)/2026-01-26 (Avg),48.06/38.425/48.7635/45.8359/No F-Track Level/No F-Track Level/48.98,"95.45%, Past 4 years, 22",No Information,No Information,No Information,No Information,No Information,1.4% below/1.17% below/1.17% below,8.52%/0.48%/4.54%,"6.93%, 41.4%",3.6 months/6 days/1.1 month,15.61%,-0.38%,15.99%,1.09,0.16,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),portfolio_target_achieved,53.5448
OSCILLATOR DELTA,"BTI, Short, 2025-12-08 (Price: 57.41)",Daily,No Exit Yet,No Price Target,2025-12-09 (Min),-50.35%/-14.25%,"-0.0%, 0 days (business days)","2026-01-29 (Price: 60.2200), 4.89% above",56.2848 (Historic Rise or Fall to Pivot)/56.4455 (Avg % Gain of Historic Winning trades)/56.37 (Exit Rule)/28.5067 (Horizontal)/52.4418 (F-Stack 1)/49.3734 (F-Stack 2)/49.23 (EMA 200),2025-12-29 (Max)/2025-12-09 (Min)/2025-12-15 (Avg),No Recent Maxima/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/No EMA 200 Support,"86.84%, Past 6 years, 38",No Information,No Information,No Information,No Information,No Information,No Information,6.35%/0.03%/1.68%,"2.83%, 7.85%",,42.91%,5.1%,37.81%,0.21,0.19,88.24%/17/4 days (business days) (Across ALL Assets),61.11%/36/6 days (business days) (Across ALL Assets),portfolio_target_achieved,56.2611
FRACTAL TRACK,"BN.TO, Long, 2025-12-07 (Price: 64.54)",Weekly,No Exit Yet,67.2313 (Backtested Min),No Date Target,3.61%/10.41%,"4.07%, 29 days","2026-01-29 (Price: 62.8000), 2.70% below",74.4017 (Historic Rise or Fall to Pivot)/74.1629 (Avg % Gain of Historic Winning trades)/80.82 (Exit Rule)/69.5978 (F-Stack 1)/79.2394 (F-Stack 2)/76.254 (Backtested Max),2028-10-14 (Max)/2026-01-28 (Min)/2027-02-23 (Avg),43.89/27.0034/63.3841/59.2857/No F-Track Level/No F-Track Level/58.4,"92.31%, Past 2 years, 13",No Information,No Information,No Information,"38.2% (Price: 58.0258), 15.76% above, Upmove Bounce Back","2025-04-13 (Price: 41.2533), 2025-09-28 (Price: 68.3933)",No Information,18.15%/4.17%/14.91%,"0.94%, 29.1%",2 years/1.2 month/10.2 months,10.18%,8.84%,1.34%,2.08,0.46,No Data (Across ALL Assets),No Data (Across ALL Assets),portfolio_target_achieved,64.9734
TRENDPULSE,"FBU.NZ, Long, 2025-12-07 (Price: 3.64)",Weekly,No Exit Yet,3.8165 (Avg % Gain of Historic Winning trades),No Date Target,0.79%/0.94%,"4.67%, 1 month","2026-01-30 (Price: 3.7600), 3.30% above",3.84 (Exit Rule)/7.985 (Horizontal)/12.7156 (F-Stack 1)/14.3053 (F-Stack 2)/3.846 (Backtested Max),2027-07-03 (Max)/2026-05-08 (Min)/2027-02-14 (Avg),2.94/2.82/3.5015/3.1474/No F-Track Level/No F-Track Level/3.2,"88.89%, Past 10 years, 18",No Information,No Information,No Information,No Information,No Information,4.67% above/4.67% above/4.67% above,5.66%/3.22%/4.85%,"41.61%, 51.08%",1.1 year/3.5 months/10 months,-4.06%,-3.73%,-0.33%,-0.25,-0.19,91.25%/160/4.9 months (Across ALL Assets),82.63%/334/3.7 months (Across ALL Assets),portfolio_target_achieved,3.28
TRENDPULSE,"TRI.TO, Short, 2025-12-07 (Price: 184.66)",Weekly,2025-12-30 (Price: 181.92) (Today),No Price Target,No Date Target,-48.87%/-35.75%,"1.48%, 23 days","2026-01-29 (Price: 151.9500), 17.71% below",179.1941 (Historic Rise or Fall to Pivot)/175.6486 (Avg % Gain of Historic Winning trades)/135.75 (Exit Rule)/116.89 (Horizontal)/131.2534 (F-Stack 1)/93.0152 (F-Stack 2),2026-08-16 (Max)/2026-02-14 (Min)/2026-04-03 (Avg),No support/116.89/131.2534/93.0152/No F-Track Level/No F-Track Level/No support,"88.24%, Past 10 years, 17",No Information,No Information,No Information,No Information,No Information,1.48% below/2.53% below/1.48% below,16.0%/1.62%/4.88%,"15.2%, 17.31%",5.8 months/1.6 month/2.7 months,0.57%,5.4%,-4.83%,0.32,0.43,No Data (Across ALL Assets),25.0%/8/0 days (Across ALL Assets),portfolio_target_achieved,187.17
TRENDPULSE,"TCS.NS, Long, 2025-12-05 (Price: 3238.2)",Daily,No Exit Yet,3279.96 (EMA 200),No Date Target,0.27%/1.8%,"1.32%, 13 days","2026-01-30 (Price: 3105.6001), 4.09% below",3389.4239 (Historic Rise or Fall to Pivot)/3339.8795 (Avg % Gain of Historic Winning trades)/3396.9 (Exit Rule)/4543.575 (Horizontal)/5637.7577 (F-Stack 1)/6110.9256 (F-Stack 2)/3503.0848 (Backtested Max)/3289.6874 (Backtested Min),2026-06-14 (Max)/2026-01-17 (Avg),2990.2/2923.4601/3006.8346/2637.2425/No F-Track Level/No F-Track Level/No EMA 200 Support,"96.15%, Past 4 years, 26",No Information,No Information,No Information,No Information,No Information,1.6% above/1.32% above/1.32% above,8.18%/1.59%/3.14%,"12.98%, 25.8%",4.4 months/6 days/1 month,14.5%,5.53%,8.97%,0.53,0.28,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),portfolio_target_achieved,3172.3305
TRENDPULSE,"TD.TO, Long, 2025-12-05 (Price: 122.2)",Daily,2025-12-15 (Price: 126.75),128.6672 (F-Stack 1)/127.6135 (Backtested Max),No Date Target,4.81%/18.79%,"4.74%, 14 days","2026-01-29 (Price: 127.9900), 4.74% above",134.15 (Exit Rule)/152.0396 (F-Stack 2),2026-02-03 (Max)/2025-12-22 (Avg),113.54/73.6233/101.1064/83.3451/No F-Track Level/No F-Track Level/99.51,"95.45%, Past 4 years, 22",No Information,No Information,No Information,No Information,No Information,6.58% above/4.74% above/4.74% above,4.43%/0.31%/2.53%,"4.88%, 19.34%",1.4 month/4 days/12 days,5.23%,5.65%,-0.42%,1.2,0.29,88.27%/307/0 days (Across ALL Assets),82.44%/655/0 days (Across ALL Assets),portfolio_target_achieved,119.7953
FRACTAL TRACK,"FPH.NZ, Long, 2025-12-04 (Price: 38.2)",Daily,No Exit Yet,No Price Target,2026-01-13 (Min),1.75%/1.83%,"0.71%, 1.3 month","2026-01-30 (Price: 39.0900), 2.33% above",39.1932 (Historic Rise or Fall to Pivot)/41.1834 (Avg % Gain of Historic Winning trades)/41.63 (Exit Rule)/39.1438 (Horizontal)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.3791 (Backtested Max)/39.1741 (Backtested Min),2030-08-20 (Max)/2026-01-13 (Min)/2027-06-30 (Avg),36.64/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/36.58,"90.0%, Past 5 years, 10",No Information,No Information,No Information,"50% (Price: 37.605), 2.3% above, Upmove Bounce Back","2025-10-23 (Price: 34.75), 2025-11-26 (Price: 40.46)",No Information,10.94%/2.55%/7.81%,"1.6%, 46.76%",3.3 years/28 days/1.1 year,8.47%,1.81%,6.66%,1.1,0.09,94.15%/325/5.2 months (Across ALL Assets),62.26%/53/5.5 months (Across ALL Assets),portfolio_target_achieved,38.49
